year,installed_capacity,waste_mass,collection_cost,transport_cost,processing_cost,labor_cost,total_cost,glass_benefit,aluminum_benefit,silicon_benefit,copper_benefit,silver_benefit,total_benefit,net_value
2010.0,298.61016455919093,298.61016455919093,238923.96486709986,272631.0802425413,1324491.3571055825,271410.0,2107456.4022152238,164817.88032844543,743539.3097523854,403370.0755406691,223061.79292571565,892247.1717028624,2427036.230250078,319579.828034854
2011.0,429.9986369652349,429.9986369652349,344050.50940862374,392588.7555492594,1907267.5542320383,452350.0,3096256.8191899215,237337.74767296138,1070696.6060434347,580852.9087785635,321208.98181303043,1284835.9272521217,3494932.1715601115,398675.35237018997
2012.0,619.1980372299383,619.1980372299383,495432.73354841827,565327.8079909337,2746465.2780941357,633290.0,4440515.819633488,341766.3566490645,1541803.1127025464,836428.1886411314,462540.933810764,1850163.7352430555,5032702.327046562,592186.5074130744
2013.0,891.6451736111112,891.6451736111112,713423.1363097223,814072.0435069446,3954910.0004555555,814230.0,6296635.1802722225,492143.5535746529,2220196.482291667,1204456.5916432294,666058.9446875001,2664235.7787500005,7247091.35094705,950456.1706748279
2014.0,1283.9690500000002,1283.9690500000002,1027329.3162860001,1172263.7426500001,5695070.400656,1176110.0,9070773.459592,708686.7171475001,3197082.9345000004,1734417.4919662501,959124.8803500001,3836499.5214,10435811.54536375,1365038.0857717507
2015.0,1817.0561500000003,1817.0561500000003,1453862.9667380003,1658972.2649500002,8059588.894448001,1718930.0,12891354.126136001,1002924.1419925003,4524469.813500001,2454524.8738237508,1357340.9440500003,5429363.7762,14768623.549566252,1877269.423430251
2016.0,3241.36995,3241.36995,2593484.924394,2959370.76435,14377161.240623998,2985510.0,22915526.929367997,1789074.1439025002,8071011.175499999,4378523.56270875,2421303.35265,9685213.4106,26345125.64536125,3429598.7159932517
2017.0,5816.0466,5816.0466,4653535.205592,5310050.545799999,25797191.015231997,5337730.0,41098506.766623996,3210166.92087,14481956.033999998,7856461.148445,4344586.8102,17378347.240799997,47271518.154314995,6173011.387690999
2018.0,10167.525549999998,10167.525549999998,8135240.543065999,9282950.827149998,45098262.92753599,9227940.0,71744394.297752,5611965.727322499,25317138.619499993,13734547.70107875,7595141.5858499985,30380566.343399994,82639359.97715124,10894965.679399252
2019.0,13239.2169,13239.2169,10592962.226028,12087405.029699998,58722811.34428799,12032510.0,93435688.600016,7307385.7679550005,32965650.080999997,17883865.1689425,9889695.0243,39558780.0972,107605376.1393975,14169687.539381504
2020.0,16201.294199999998,16201.294199999998,12962979.515304,14791781.604599997,71861164.44998398,14746610.0,114362535.56988798,8942304.33369,40341222.55799999,21885113.237715,12102366.7674,48409467.069599986,131680473.96640497,17317938.396516994
2021.0,18762.3891,18762.3891,15012162.766692,17130061.2483,83220952.10083199,17008360.0,132371536.11582398,10355900.663745001,46718348.859,25344704.2560075,14015504.6577,56062018.6308,152496477.06725252,20124940.951428533
2022.0,24568.4257,24568.4257,19657688.771084,22430972.6641,108973743.56086399,22255620.0,173318024.99604797,13560542.565115001,61175379.993,33187643.646202497,18352613.9979,73410455.99159999,199686636.1938175,26368611.197769523
2023.0,30385.0547,30385.0547,24311689.966564,27741554.941099998,134773517.822944,27502880.0,214329642.730608,16771030.941665001,75658786.203,41044891.5151275,22697635.860900003,90790543.4436,246962887.96429253,32633245.23368454
2024.0,37225.188,37225.188,29784617.422560003,33986596.643999994,165113065.87776,33745310.0,262629589.94432,20546442.5166,92690718.12,50284714.5801,27807215.436,111228861.74399999,302557952.3967,39928362.45238003
2025.0,45786.98124,45786.98124,36635079.4297488,41803513.87212,203089071.0296448,41435260.0,322962924.3315136,25272124.295418,114009583.2876,61850198.93352301,34202874.98628,136811499.94511998,372146281.44794095,49183357.11642736
2026.0,57411.79986515005,57411.79986515005,45936329.30810386,52416973.27688199,254651186.53787035,52020250.0,405024739.1228562,31688442.93556957,142955381.6642236,77553294.55284132,42886614.499267094,171546457.99706835,466630191.64896995,61605452.52611375
2027.0,81521.02116766252,81521.02116766252,65226599.456670135,74428692.32607588,361588119.8095904,73823520.0,575066931.5923364,44995527.63349133,202987342.70747966,110120633.41880773,60896202.81224391,243584811.24897557,662584517.8209982,87517586.22866178
2028.0,132817.36941264648,132817.36941264648,106269833.6144467,121262258.27374624,589114098.3771816,120234630.0,936880820.2653747,73308547.04731023,330715249.8374897,179413023.03683817,99214574.95124692,396858299.80498767,1079509694.6778727,142628874.412498
2029.0,232842.2413679688,232842.2413679688,186301734.1633392,212584966.36895546,1032776418.4324528,210704630.0,1642367748.9647474,128517275.12305038,579777181.0062423,314529120.69588643,173933154.3018727,695732617.2074906,1892489348.3345423,250121599.36979485
2030.0,413640.8512041353,413640.8512041353,330962317.8654527,377654097.1493755,1834712268.3329659,374274390.0,2917603073.347794,228309067.82212245,1029965719.4982969,558756402.827826,308989715.84948903,1235958863.3979561,3361979769.3956904,444376696.0478964
2031.0,587012.9745010467,587012.9745010467,469680821.1577775,535942845.7194556,2603707788.6588826,531149370.0,4140480825.5361156,324001811.27585274,1461662306.5076063,792951801.2803764,438498691.9522819,1753994767.8091273,4771109378.825245,630628553.2891293
2032.0,809783.1036187729,809783.1036187729,647923656.8674526,739331973.6039397,3591809151.7631392,732626060.0,5711690842.234531,446959784.0423817,2016359928.0107446,1093875260.945829,604907978.4032234,2419631913.612893,6581734865.015072,870044022.7805405
2033.0,1084214.7377321557,1084214.7377321557,867501895.9542525,989888055.5494581,4809056153.505731,980966210.0,7647412315.009441,598432324.4912634,2699694696.953068,1464584373.0970392,809908409.0859203,3239633636.343681,8812253439.970972,1164841124.9615307
2034.0,1411584.3229767806,1411584.3229767806,1129436848.5001817,1288776486.8778007,6261110496.2499695,1277074520.0,9956398351.627953,779123967.0670341,3514844964.2121835,1906803393.0851097,1054453489.2636552,4217813957.05462,11473039770.682602,1516641419.0546494
2035.0,1792188.1575167468,1792188.1575167468,1433965588.5922995,1636267787.8127897,7949286416.428679,1621403340.0,12640923132.833769,989198253.5413685,4462548512.2167,2420932567.877559,1338764553.66501,5355058214.660039,14566502101.960678,1925578969.1269093
2036.0,2225350.233644121,2225350.233644121,1780547228.943334,2031744763.3170822,9870585468.33317,2013319380.0,15696196840.593586,1228282061.4598725,5541122081.773861,3006058729.3623195,1662336624.5321584,6649346498.128633,18087145995.256844,2390949154.6632576
2037.0,2709439.359400144,2709439.359400144,2167876620.243243,2473718135.132331,12017772467.406525,2451284650.0,19110651872.782097,1495475054.4209096,6746504004.906359,3659978422.6616993,2023951201.4719076,8095804805.8876295,22021713489.348507,2911061616.56641
2038.0,3241900.6697000563,3241900.6697000563,2593909563.8404093,2959855311.436151,14379515258.467993,2933037400.0,22866317533.744553,1789367074.6409461,8072332667.55314,4379240472.147578,2421699800.265942,9686799201.063768,26349439215.67137,3483121681.926819
2039.0,3819304.532856442,3819304.532856442,3055901942.8290963,3487025038.4979315,16940601641.575403,3455411180.0,26938939802.90243,2108065136.9101133,9510068286.81254,5159212045.595803,2853020486.043762,11412081944.175049,31042447899.537266,4103508096.6348343
2040.0,4437414.27106901,4437414.27106901,3550463906.567736,4051359229.4860053,19682239747.61201,4014606250.0,31298669133.665752,2449230806.91654,11049161534.961834,5994170132.716796,3314748460.48855,13258993841.9542,36066304777.03792,4767635643.372166
2041.0,5091272.789410626,5091272.789410626,4073629184.26323,4648332056.731901,22582442282.886616,4606099110.0,35910502633.881744,2810128016.115195,12677269245.632456,6877418565.755609,3803180773.6897373,15212723094.758947,41380719695.95194,5470217062.070198
2042.0,5775307.046803427,5775307.046803427,4620938674.288358,5272855333.731528,25616489912.237534,5225004380.0,40735288300.257416,3187680724.483152,14380514546.540531,7801429141.4982395,4314154363.96216,17256617455.84864,46940396232.33272,6205107932.075302
2043.0,6483448.275370456,6483448.275370456,5187536634.08941,5919388275.413226,28757464494.371162,5865622450.0,45730011853.873795,3578539275.590723,16143786205.672436,8758004016.577297,4843135861.701731,19372543446.806923,52696008806.34911,6965996952.475319
2044.0,7209264.966580301,7209264.966580301,5768277085.06023,6582058914.487814,31976838944.56625,6522253710.0,50849428654.114296,3979153798.303997,17951069766.784946,9738455348.480835,5385320930.035485,21541283720.141937,58595283563.7472,7745854909.632904
2045.0,7946104.914470887,7946104.914470887,6357837464.166446,7254793786.911919,35245107270.2339,7188927140.0,56046665661.31227,4385852607.542206,19785801237.032505,10733797171.090136,5935740371.109753,23742961484.439007,64584152871.21361,8537487209.901337
2046.0,8687242.063283177,8687242.063283177,6950836119.674136,7931452003.77754,38532435916.53379,7859400310.0,61274124349.985466,4794923256.82915,21631232737.57511,11734943760.134499,6489369821.272533,25957479285.09013,70607948860.90143,9333824510.915962
2047.0,9426023.572101526,9426023.572101526,7541949980.509873,8605959521.328693,41809316074.527756,8527792670.0,66485018246.36632,5202693710.621438,23470798694.5328,12732908291.784044,7041239608.359839,28164958433.439354,76612598738.73747,10127580492.371155
2048.0,10156012.398631822,10156012.398631822,8126028640.393293,9272439319.950853,45047196114.37942,9188223670.0,71633887744.72357,5605611043.424835,25288470872.59324,13718995448.381832,7586541261.777971,30346165047.11188,82545783673.28975,10911895928.566177
2049.0,10871120.8239687,10871120.8239687,8698201193.673836,9925333312.28342,48219073837.12964,9835174640.0,76677782983.0869,6000315138.789524,27069090851.68206,14684981787.03752,8120727255.504619,32482909022.01847,88358024055.0322,11680241071.945297
2050.0,11565730.68408405,11565730.68408405,9253972434.949331,10559512114.568737,51300029763.868484,10463579260.0,81577093573.38655,6383705051.080192,28798669403.36928,15623278151.327839,8639600821.010786,34558403284.04314,94003656710.83124,12426563137.444687
